first_name,last_name,email,username,password,role,phone
Brinda,Pandya,brindapandya@example.local,brindapandya,ZJ@12345,inhouse_sales,+91910000001
Bhavin,Rajput,bhavinrajput@example.local,bhavinrajput,ZJ@12345,inhouse_sales,+91910000002
Surali,Dobariya,suralidobariya@example.local,suralidobariya,ZJ@12345,inhouse_sales,+91910000003
Pratik,Soni,pratiksoni@example.local,pratiksoni,ZJ@12345,inhouse_sales,+91910000004
Paresh,Makwana,pareshmakwana@example.local,pareshmakwana,ZJ@12345,inhouse_sales,+91910000005
Bharat,Patel,bharatpatel@example.local,bharatpatel,ZJ@12345,inhouse_sales,+91910000006
Jignesh,Desai,jigneshdesai@example.local,jigneshdesai,ZJ@12345,inhouse_sales,+91910000007
Roopalie,Jain,roopaliejain@example.local,roopaliejain,ZJ@12345,inhouse_sales,+91910000008
Saurabh,Shah,saurabhshah@example.local,saurabhshah,ZJ@12345,inhouse_sales,+91910000009
ZJ,,zj@example.local,zj,ZJ@12345,inhouse_sales,+91910000010
Manisha,Namha,manishanamha@example.local,manishanamha,ZJ@12345,inhouse_sales,+91910000011
